Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
12.367,244.55,475.76,240.97
12.368,244.55,475.35,241.01
12.369,244.55,474.88,241.06
12.37,244.54,474.36,241.1
12.371,244.54,473.8,241.15
12.372,244.54,473.2,241.19
12.373,244.53,472.58,241.24
12.374,244.53,471.96,241.28
12.375,244.53,471.34,241.33
12.376,244.52,470.75,241.38
12.377,244.52,470.18,241.42
12.378,244.52,469.62,241.47
12.379,244.51,469.05,241.51
12.38,244.51,468.48,241.56
12.381,244.51,467.9,241.61
12.382,244.51,467.35,241.65
12.383,244.5,466.85,241.7
12.384,244.5,466.41,241.75
12.385,244.5,466.06,241.8
12.386,244.5,465.8,241.84
12.387,244.49,465.6,241.89
12.388,244.49,465.46,241.94
12.389,244.49,465.34,241.99
12.39,244.49,465.24,242.04
12.391,244.49,465.13,242.08
12.392,244.48,465.02,242.13
12.393,244.48,464.92,242.18
12.394,244.48,464.82,242.23
12.395,244.48,464.74,242.28
12.396,244.48,464.69,242.33
12.397,244.47,464.67,242.38
12.398,244.47,464.7,242.43
12.399,244.47,464.77,242.48
12.4,244.47,464.88,242.53
12.401,244.47,465.03,242.58
12.402,244.47,465.2,242.63
12.403,244.46,465.36,242.68
12.404,244.46,465.51,242.73
12.405,244.46,465.61,242.78
12.406,244.46,465.64,242.83
12.407,244.46,465.59,242.88
12.408,244.46,465.46,242.94
12.409,244.46,465.25,242.99
12.41,244.46,464.96,243.04
12.411,244.45,464.63,243.09
12.412,244.45,464.25,243.14
12.413,244.45,463.86,243.19
12.414,244.45,463.48,243.25
12.415,244.45,463.12,243.3
12.416,244.45,462.8,243.35
12.417,244.45,462.54,243.4
12.418,244.45,462.35,243.46
12.419,244.45,462.2,243.51
12.42,244.45,462.08,243.56
12.421,244.44,461.96,243.62
12.422,244.44,461.84,243.67
12.423,244.44,461.71,243.72
12.424,244.44,461.55,243.78
12.425,244.44,461.37,243.83
12.426,244.44,461.18,243.88
12.427,244.44,461.0,243.94
12.428,244.44,460.85,243.99
12.429,244.44,460.72,244.05
12.43,244.44,460.63,244.1
12.431,244.43,460.57,244.16
12.432,244.43,460.53,244.21
12.433,244.43,460.52,244.27
12.434,244.43,460.56,244.32
12.435,244.43,460.65,244.38
12.436,244.43,460.79,244.43
12.437,244.43,460.97,244.49
12.438,244.43,461.17,244.54
12.439,244.43,461.37,244.6
12.44,244.43,461.55,244.65
12.441,244.42,461.71,244.71
12.442,244.42,461.85,244.77
12.443,244.42,461.97,244.82
12.444,244.42,462.08,244.88
12.445,244.42,462.17,244.93
12.446,244.42,462.25,244.99
12.447,244.42,462.31,245.05
12.448,244.42,462.35,245.1
12.449,244.41,462.36,245.16
12.45,244.41,462.35,245.22
12.451,244.41,462.32,245.27
12.452,244.41,462.25,245.33
12.453,244.41,462.15,245.39
12.454,244.41,461.99,245.45
12.455,244.41,461.78,245.5
12.456,244.4,461.51,245.56
12.457,244.4,461.19,245.62
12.458,244.4,460.81,245.68
12.459,244.4,460.42,245.73
12.46,244.4,460.03,245.79
12.461,244.39,459.68,245.85
12.462,244.39,459.39,245.91
12.463,244.39,459.18,245.97
12.464,244.39,459.04,246.03
12.465,244.39,458.95,246.08
12.466,244.38,458.89,246.14
12.467,244.38,458.84,246.2
12.468,244.38,458.76,246.26
12.469,244.38,458.64,246.32
12.47,244.38,458.46,246.38
12.471,244.37,458.22,246.44
12.472,244.37,457.92,246.5
12.473,244.37,457.58,246.56
12.474,244.36,457.23,246.61
12.475,244.36,456.87,246.67
12.476,244.36,456.53,246.73
12.477,244.36,456.23,246.79
12.478,244.35,455.95,246.85
12.479,244.35,455.72,246.91
12.48,244.35,455.52,246.97
12.481,244.34,455.36,247.03
12.482,244.34,455.25,247.09
12.483,244.34,455.2,247.15
12.484,244.33,455.23,247.21
12.485,244.33,455.32,247.27
12.486,244.33,455.47,247.33
12.487,244.32,455.67,247.39
12.488,244.32,455.89,247.45
12.489,244.31,456.09,247.51
12.49,244.31,456.27,247.57
12.491,244.31,456.4,247.63
12.492,244.3,456.49,247.69
12.493,244.3,456.54,247.75
12.494,244.29,456.58,247.81
12.495,244.29,456.63,247.87
12.496,244.28,456.71,247.93
12.497,244.28,456.83,248.0
12.498,244.27,456.99,248.06
12.499,244.27,457.17,248.12
12.5,244.26,457.37,248.18
12.501,244.26,457.56,248.24
12.502,244.25,457.72,248.3
12.503,244.25,457.87,248.36
12.504,244.24,457.98,248.42
12.505,244.23,458.07,248.48
12.506,244.23,458.13,248.54
12.507,244.22,458.18,248.6
12.508,244.22,458.23,248.67
12.509,244.21,458.26,248.73
12.51,244.2,458.28,248.79
12.511,244.2,458.28,248.85
12.512,244.19,458.26,248.91
12.513,244.18,458.22,248.97
12.514,244.18,458.14,249.03
12.515,244.17,458.01,249.09
12.516,244.16,457.83,249.15
12.517,244.15,457.6,249.22
12.518,244.15,457.33,249.28
12.519,244.14,457.01,249.34
12.52,244.13,456.66,249.4
12.521,244.12,456.26,249.46
12.522,244.12,455.83,249.52
12.523,244.11,455.37,249.58
12.524,244.1,454.89,249.65
12.525,244.09,454.43,249.71
12.526,244.08,454.01,249.77
12.527,244.07,453.63,249.83
12.528,244.06,453.33,249.89
12.529,244.06,453.1,249.95
12.53,244.05,452.94,250.01
12.531,244.04,452.84,250.08
12.532,244.03,452.79,250.14
12.533,244.02,452.79,250.2
12.534,244.01,452.81,250.26
12.535,244.0,452.85,250.32
12.536,243.99,452.88,250.38
12.537,243.98,452.9,250.44
12.538,243.97,452.89,250.5
12.539,243.96,452.83,250.57
12.54,243.95,452.73,250.63
12.541,243.94,452.58,250.69
12.542,243.93,452.4,250.75
12.543,243.92,452.22,250.81
12.544,243.91,452.05,250.87
12.545,243.9,451.91,250.93
12.546,243.88,451.81,250.99
12.547,243.87,451.77,251.06
12.548,243.86,451.79,251.12
12.549,243.85,451.87,251.18
12.55,243.84,452.03,251.24
12.551,243.83,452.25,251.3
12.552,243.81,452.53,251.36
12.553,243.8,452.86,251.42
12.554,243.79,453.21,251.48
12.555,243.78,453.57,251.54
12.556,243.77,453.91,251.61
12.557,243.75,454.22,251.67
12.558,243.74,454.51,251.73
12.559,243.73,454.76,251.79
12.56,243.71,455.01,251.85
12.561,243.7,455.26,251.91
12.562,243.69,455.53,251.97
12.563,243.68,455.82,252.03
12.564,243.66,456.13,252.09
12.565,243.65,456.42,252.15
12.566,243.63,456.69,252.21
12.567,243.62,456.91,252.27
12.568,243.61,457.08,252.33
12.569,243.59,457.19,252.39
12.57,243.58,457.25,252.45
12.571,243.57,457.28,252.51
12.572,243.55,457.27,252.57
12.573,243.54,457.25,252.63
12.574,243.52,457.2,252.69
12.575,243.51,457.14,252.75
12.576,243.49,457.06,252.81
12.577,243.48,456.96,252.87
12.578,243.46,456.84,252.93
12.579,243.45,456.69,252.99
12.58,243.43,456.52,253.05
12.581,243.42,456.33,253.11
12.582,243.4,456.14,253.17
12.583,243.39,455.95,253.23
12.584,243.37,455.78,253.29
12.585,243.36,455.63,253.35
12.586,243.34,455.51,253.41
12.587,243.33,455.44,253.46
12.588,243.31,455.41,253.52
12.589,243.29,455.44,253.58
12.59,243.28,455.53,253.64
12.591,243.26,455.68,253.7
12.592,243.25,455.9,253.76
12.593,243.23,456.18,253.82
12.594,243.21,456.53,253.87
12.595,243.2,456.94,253.93
12.596,243.18,457.42,253.99
12.597,243.16,457.95,254.05
12.598,243.14,458.54,254.11
12.599,243.13,459.18,254.16
12.6,243.11,459.86,254.22
12.601,243.09,460.58,254.28
12.602,243.08,461.32,254.34
12.603,243.06,462.06,254.39
12.604,243.04,462.8,254.45
12.605,243.02,463.52,254.51
12.606,243.01,464.22,254.57
12.607,242.99,464.87,254.62
12.608,242.97,465.48,254.68
12.609,242.95,466.05,254.74
12.61,242.93,466.6,254.79
12.611,242.91,467.14,254.85
12.612,242.9,467.71,254.91
12.613,242.88,468.32,254.96
12.614,242.86,469.01,255.02
12.615,242.84,469.76,255.07
12.616,242.82,470.6,255.13
12.617,242.8,471.52,255.18
12.618,242.78,472.49,255.24
12.619,242.76,473.5,255.29
12.62,242.74,474.52,255.35
12.621,242.72,475.52,255.4
12.622,242.7,476.47,255.46
12.623,242.68,477.35,255.51
12.624,242.66,478.17,255.57
12.625,242.64,478.92,255.62
12.626,242.62,479.62,255.68
12.627,242.6,480.3,255.73
12.628,242.58,480.97,255.78
12.629,242.56,481.65,255.84
12.63,242.54,482.34,255.89
12.631,242.52,483.03,255.94
12.632,242.5,483.7,256.0
12.633,242.48,484.36,256.05
12.634,242.45,484.98,256.1
12.635,242.43,485.57,256.16
12.636,242.41,486.11,256.21
12.637,242.39,486.59,256.26
12.638,242.37,486.99,256.31
12.639,242.34,487.31,256.36
12.64,242.32,487.56,256.42
12.641,242.3,487.74,256.47
12.642,242.28,487.89,256.52
12.643,242.25,488.03,256.57
12.644,242.23,488.21,256.62
12.645,242.21,488.44,256.67
12.646,242.18,488.74,256.72
12.647,242.16,489.1,256.77
12.648,242.14,489.49,256.82
12.649,242.11,489.91,256.87
12.65,242.09,490.34,256.92
12.651,242.06,490.77,256.97
12.652,242.04,491.2,257.02
12.653,242.02,491.62,257.07
12.654,241.99,492.01,257.12
12.655,241.97,492.37,257.17
12.656,241.94,492.7,257.22
12.657,241.92,493.02,257.26
12.658,241.89,493.35,257.31
12.659,241.86,493.69,257.36
12.66,241.84,494.06,257.41
12.661,241.81,494.46,257.45
12.662,241.79,494.89,257.5
12.663,241.76,495.34,257.55
12.664,241.74,495.78,257.59
12.665,241.71,496.17,257.64
12.666,241.68,496.49,257.69
12.667,241.66,496.71,257.73
12.668,241.63,496.83,257.78
12.669,241.6,496.84,257.82
12.67,241.58,496.78,257.87
12.671,241.55,496.68,257.91
12.672,241.52,496.59,257.96
12.673,241.49,496.55,258.0
12.674,241.47,496.6,258.04
12.675,241.44,496.74,258.09
12.676,241.41,496.97,258.13
12.677,241.38,497.29,258.17
12.678,241.36,497.68,258.22
12.679,241.33,498.11,258.26
12.68,241.3,498.57,258.3
12.681,241.27,499.01,258.34
12.682,241.24,499.44,258.39
12.683,241.22,499.82,258.43
12.684,241.19,500.16,258.47
12.685,241.16,500.47,258.51
12.686,241.13,500.76,258.55
12.687,241.1,501.06,258.59
12.688,241.07,501.38,258.63
12.689,241.05,501.73,258.67
12.69,241.02,502.11,258.71
12.691,240.99,502.5,258.75
12.692,240.96,502.91,258.79
12.693,240.93,503.3,258.83
12.694,240.9,503.65,258.86
12.695,240.87,503.97,258.9
12.696,240.84,504.24,258.94
12.697,240.81,504.47,258.98
12.698,240.78,504.66,259.01
12.699,240.75,504.82,259.05
12.7,240.72,504.94,259.09
12.701,240.69,505.0,259.12
12.702,240.66,505.0,259.16
12.703,240.63,504.93,259.19
12.704,240.6,504.82,259.23
12.705,240.57,504.64,259.26
12.706,240.54,504.42,259.3
12.707,240.51,504.14,259.33
12.708,240.48,503.8,259.36
12.709,240.45,503.41,259.4
12.71,240.42,502.99,259.43
12.711,240.39,502.57,259.46
12.712,240.36,502.18,259.5
12.713,240.33,501.85,259.53
12.714,240.3,501.6,259.56
12.715,240.27,501.46,259.59
12.716,240.24,501.44,259.62
12.717,240.21,501.57,259.65
12.718,240.18,501.85,259.68
12.719,240.15,502.3,259.71
12.72,240.12,502.95,259.74
12.721,240.09,503.77,259.77
12.722,240.06,504.77,259.8
12.723,240.03,505.9,259.83
12.724,240.0,507.13,259.86
12.725,239.97,508.42,259.89
12.726,239.93,509.73,259.91
12.727,239.9,511.06,259.94
12.728,239.87,512.39,259.97
12.729,239.84,513.73,259.99
12.73,239.81,515.06,260.02
12.731,239.78,516.37,260.04
12.732,239.75,517.62,260.07
12.733,239.72,518.78,260.09
12.734,239.69,519.84,260.12
12.735,239.66,520.8,260.14
12.736,239.62,521.68,260.17
12.737,239.59,522.5,260.19
12.738,239.56,523.31,260.21
12.739,239.53,524.15,260.24
12.74,239.5,525.03,260.26
12.741,239.47,525.99,260.28
12.742,239.44,527.03,260.3
12.743,239.41,528.15,260.32
12.744,239.37,529.32,260.35
12.745,239.34,530.52,260.37
12.746,239.31,531.75,260.39
12.747,239.28,532.98,260.41
12.748,239.25,534.24,260.43
12.749,239.22,535.52,260.44
12.75,239.19,536.87,260.46
12.751,239.16,538.3,260.48
12.752,239.13,539.85,260.5
12.753,239.09,541.55,260.52
12.754,239.06,543.42,260.53
12.755,239.03,545.47,260.55
12.756,239.0,547.69,260.57
12.757,238.97,550.06,260.58
12.758,238.94,552.53,260.6
12.759,238.91,555.07,260.62
12.76,238.88,557.61,260.63
12.761,238.84,560.09,260.65
12.762,238.81,562.46,260.66
12.763,238.78,564.66,260.68
12.764,238.75,566.67,260.69
12.765,238.72,568.49,260.7
12.766,238.69,570.14,260.72
12.767,238.66,571.68,260.73
12.768,238.63,573.15,260.74
12.769,238.6,574.6,260.76
12.77,238.57,576.08,260.77
12.771,238.53,577.61,260.78
12.772,238.5,579.2,260.79
12.773,238.47,580.84,260.8
12.774,238.44,582.51,260.81
12.775,238.41,584.17,260.82
12.776,238.38,585.77,260.83
12.777,238.35,587.28,260.84
12.778,238.32,588.66,260.85
12.779,238.29,589.92,260.86
12.78,238.26,591.04,260.87
12.781,238.23,592.06,260.88
12.782,238.2,592.98,260.89
12.783,238.17,593.82,260.9
12.784,238.14,594.59,260.91
12.785,238.11,595.29,260.91
12.786,238.08,595.9,260.92
12.787,238.05,596.44,260.93
12.788,238.02,596.93,260.93
12.789,237.99,597.38,260.94
12.79,237.96,597.83,260.95
12.791,237.93,598.3,260.95
12.792,237.9,598.8,260.96
12.793,237.87,599.32,260.97
12.794,237.84,599.85,260.97
12.795,237.81,600.37,260.98
12.796,237.78,600.85,260.98
12.797,237.75,601.27,260.99
12.798,237.72,601.6,260.99
12.799,237.69,601.85,260.99
12.8,237.66,602.01,261.0
12.801,237.63,602.08,261.0
12.802,237.6,602.08,261.0
12.803,237.57,602.01,261.01
12.804,237.54,601.9,261.01
12.805,237.51,601.76,261.01
12.806,237.48,601.6,261.02
12.807,237.45,601.45,261.02
12.808,237.42,601.3,261.02
12.809,237.4,601.18,261.02
12.81,237.37,601.1,261.02
12.811,237.34,601.06,261.02
12.812,237.31,601.06,261.02
12.813,237.28,601.1,261.03
12.814,237.25,601.17,261.03
12.815,237.22,601.26,261.03
12.816,237.2,601.35,261.03
12.817,237.17,601.45,261.03
12.818,237.14,601.57,261.03
12.819,237.11,601.74,261.03
12.82,237.08,601.96,261.03
12.821,237.05,602.27,261.03
12.822,237.03,602.67,261.02
12.823,237.0,603.18,261.02
12.824,236.97,603.8,261.02
12.825,236.94,604.52,261.02
12.826,236.92,605.37,261.02
12.827,236.89,606.33,261.02
12.828,236.86,607.42,261.02
12.829,236.83,608.62,261.01
12.83,236.81,609.94,261.01
12.831,236.78,611.35,261.01
12.832,236.75,612.83,261.01
12.833,236.73,614.33,261.0
12.834,236.7,615.82,261.0
12.835,236.67,617.26,261.0
12.836,236.65,618.63,260.99
12.837,236.62,619.92,260.99
12.838,236.59,621.12,260.99
12.839,236.57,622.26,260.98
12.84,236.54,623.34,260.98
12.841,236.52,624.39,260.98
12.842,236.49,625.45,260.97
12.843,236.46,626.53,260.97
12.844,236.44,627.65,260.96
12.845,236.41,628.79,260.96
12.846,236.39,629.96,260.96
12.847,236.36,631.13,260.95
12.848,236.34,632.3,260.95
12.849,236.31,633.48,260.94
12.85,236.29,634.65,260.94
12.851,236.26,635.86,260.93
12.852,236.24,637.13,260.93
12.853,236.21,638.49,260.92
12.854,236.19,639.98,260.92
12.855,236.16,641.59,260.91
12.856,236.14,643.33,260.91
12.857,236.12,645.14,260.9
12.858,236.09,646.95,260.9
12.859,236.07,648.69,260.89
12.86,236.04,650.26,260.88
12.861,236.02,651.64,260.88
12.862,236.0,652.77,260.87
12.863,235.97,653.69,260.87
12.864,235.95,654.43,260.86
12.865,235.93,655.04,260.85
12.866,235.9,655.57,260.85
12.867,235.88,656.08,260.84
12.868,235.86,656.61,260.84
12.869,235.83,657.19,260.83
12.87,235.81,657.83,260.82
12.871,235.79,658.52,260.82
12.872,235.77,659.24,260.81
12.873,235.75,659.98,260.8
12.874,235.72,660.72,260.8
12.875,235.7,661.43,260.79
12.876,235.68,662.1,260.78
12.877,235.66,662.7,260.78
12.878,235.64,663.21,260.77
12.879,235.62,663.64,260.76
12.88,235.6,663.99,260.76
12.881,235.57,664.26,260.75
12.882,235.55,664.47,260.74
12.883,235.53,664.65,260.74
12.884,235.51,664.79,260.73
12.885,235.49,664.92,260.72
12.886,235.47,665.02,260.72
12.887,235.45,665.09,260.71
12.888,235.43,665.14,260.7
12.889,235.41,665.17,260.7
12.89,235.4,665.2,260.69
12.891,235.38,665.23,260.68
12.892,235.36,665.29,260.68
12.893,235.34,665.36,260.67
12.894,235.32,665.47,260.66
12.895,235.3,665.6,260.66
12.896,235.28,665.75,260.65
12.897,235.27,665.94,260.65
12.898,235.25,666.15,260.64
12.899,235.23,666.39,260.63
12.9,235.21,666.68,260.63
12.901,235.2,667.01,260.62
12.902,235.18,667.38,260.61
12.903,235.16,667.79,260.61
12.904,235.15,668.24,260.6
12.905,235.13,668.7,260.59
12.906,235.11,669.18,260.59
12.907,235.1,669.64,260.58
12.908,235.08,670.07,260.58
12.909,235.07,670.47,260.57
12.91,235.05,670.82,260.56
12.911,235.04,671.13,260.56
12.912,235.02,671.41,260.55
12.913,235.01,671.67,260.55
12.914,234.99,671.93,260.54
12.915,234.98,672.17,260.54
12.916,234.96,672.42,260.53
12.917,234.95,672.68,260.53
12.918,234.94,672.94,260.52
12.919,234.92,673.21,260.52
12.92,234.91,673.47,260.51
12.921,234.9,673.71,260.51
12.922,234.88,673.92,260.5
12.923,234.87,674.07,260.5
12.924,234.86,674.15,260.49
12.925,234.85,674.16,260.49
12.926,234.84,674.1,260.48
12.927,234.83,673.99,260.48
12.928,234.81,673.85,260.47
12.929,234.8,673.69,260.47
12.93,234.79,673.53,260.47
12.931,234.78,673.38,260.46
12.932,234.77,673.26,260.46
12.933,234.76,673.15,260.45
12.934,234.75,673.06,260.45
12.935,234.74,672.99,260.45
12.936,234.73,672.93,260.44
12.937,234.72,672.87,260.44
12.938,234.71,672.82,260.44
12.939,234.71,672.77,260.44
12.94,234.7,672.72,260.43
12.941,234.69,672.67,260.43
12.942,234.68,672.62,260.43
12.943,234.67,672.54,260.43
12.944,234.67,672.43,260.43
12.945,234.66,672.28,260.42
12.946,234.65,672.08,260.42
12.947,234.64,671.83,260.42
12.948,234.64,671.51,260.42
12.949,234.63,671.11,260.42
12.95,234.62,670.61,260.42
12.951,234.62,670.03,260.42
12.952,234.61,669.36,260.42
12.953,234.6,668.62,260.42
12.954,234.6,667.82,260.42
12.955,234.59,666.98,260.42
12.956,234.59,666.09,260.42
12.957,234.58,665.18,260.42
12.958,234.58,664.24,260.42
12.959,234.57,663.25,260.42
12.96,234.57,662.2,260.42
12.961,234.56,661.09,260.42
12.962,234.56,659.95,260.42
12.963,234.56,658.79,260.43
12.964,234.55,657.64,260.43
12.965,234.55,656.53,260.43
12.966,234.54,655.44,260.43
12.967,234.54,654.38,260.43
12.968,234.54,653.32,260.44
12.969,234.53,652.28,260.44
12.97,234.53,651.23,260.45
12.971,234.53,650.2,260.45
12.972,234.53,649.2,260.45
12.973,234.52,648.24,260.46
12.974,234.52,647.35,260.46
12.975,234.52,646.55,260.47
12.976,234.52,645.84,260.47
12.977,234.52,645.25,260.48
12.978,234.52,644.77,260.48
12.979,234.51,644.4,260.49
12.98,234.51,644.11,260.5
12.981,234.51,643.9,260.5
12.982,234.51,643.74,260.51
12.983,234.51,643.61,260.52
12.984,234.51,643.5,260.52
12.985,234.51,643.38,260.53
12.986,234.51,643.24,260.54
12.987,234.51,643.09,260.55
12.988,234.51,642.91,260.56
12.989,234.51,642.73,260.57
12.99,234.51,642.55,260.58
12.991,234.51,642.4,260.59
12.992,234.51,642.26,260.6
12.993,234.51,642.16,260.61
12.994,234.51,642.08,260.62
12.995,234.51,642.03,260.63
12.996,234.52,642.01,260.64
12.997,234.52,642.02,260.65
12.998,234.52,642.07,260.66
12.999,234.52,642.15,260.68
13.0,234.52,642.26,260.69
13.001,234.52,642.38,260.7
13.002,234.53,642.48,260.71
13.003,234.53,642.55,260.73
13.004,234.53,642.56,260.74
13.005,234.53,642.51,260.76
13.006,234.54,642.39,260.77
13.007,234.54,642.21,260.79
13.008,234.54,641.95,260.8
13.009,234.55,641.64,260.82
13.01,234.55,641.28,260.83
13.011,234.55,640.87,260.85
13.012,234.56,640.43,260.86
13.013,234.56,639.96,260.88
13.014,234.57,639.48,260.9
13.015,234.57,638.99,260.92
13.016,234.58,638.49,260.93
13.017,234.58,637.99,260.95
13.018,234.58,637.48,260.97
13.019,234.59,636.95,260.99
13.02,234.6,636.4,261.01
13.021,234.6,635.83,261.02
13.022,234.61,635.25,261.04
13.023,234.61,634.67,261.06
13.024,234.62,634.11,261.08
13.025,234.62,633.56,261.1
13.026,234.63,633.03,261.12
13.027,234.64,632.53,261.14
13.028,234.64,632.05,261.16
13.029,234.65,631.59,261.18
13.03,234.66,631.17,261.2
13.031,234.66,630.77,261.23
13.032,234.67,630.4,261.25
13.033,234.68,630.05,261.27
13.034,234.68,629.73,261.29
13.035,234.69,629.43,261.31
13.036,234.7,629.17,261.33
13.037,234.71,628.94,261.36
13.038,234.72,628.76,261.38
13.039,234.72,628.64,261.4
13.04,234.73,628.57,261.43
13.041,234.74,628.57,261.45
13.042,234.75,628.62,261.47
13.043,234.76,628.71,261.5
13.044,234.77,628.8,261.52
13.045,234.77,628.88,261.54
13.046,234.78,628.93,261.57
13.047,234.79,628.92,261.59
13.048,234.8,628.85,261.62
13.049,234.81,628.71,261.64
13.05,234.82,628.47,261.67
13.051,234.83,628.15,261.69
13.052,234.84,627.75,261.72
13.053,234.85,627.27,261.74
13.054,234.86,626.74,261.77
13.055,234.87,626.18,261.79
13.056,234.88,625.61,261.82
13.057,234.89,625.03,261.85
13.058,234.9,624.44,261.87
13.059,234.91,623.86,261.9
13.06,234.92,623.26,261.93
13.061,234.93,622.64,261.95
13.062,234.94,622.01,261.98
13.063,234.95,621.37,262.01
13.064,234.96,620.77,262.03
13.065,234.97,620.24,262.06
13.066,234.98,619.8,262.09
13.067,234.99,619.45,262.12
13.068,235.0,619.18,262.14
13.069,235.01,618.95,262.17
13.07,235.02,618.73,262.2
13.071,235.03,618.47,262.23
13.072,235.05,618.16,262.25
13.073,235.06,617.77,262.28
13.074,235.07,617.3,262.31
13.075,235.08,616.75,262.34
13.076,235.09,616.11,262.37
13.077,235.1,615.41,262.4
13.078,235.11,614.65,262.42
13.079,235.12,613.82,262.45
13.08,235.13,612.93,262.48
13.081,235.15,611.97,262.51
13.082,235.16,610.92,262.54
13.083,235.17,609.8,262.57
13.084,235.18,608.64,262.6
13.085,235.19,607.44,262.63
13.086,235.2,606.24,262.66
13.087,235.21,605.06,262.69
13.088,235.22,603.88,262.71
13.089,235.24,602.69,262.74
13.09,235.25,601.5,262.77
13.091,235.26,600.29,262.8
13.092,235.27,599.07,262.83
13.093,235.28,597.86,262.86
13.094,235.29,596.67,262.89
13.095,235.3,595.53,262.92
13.096,235.31,594.44,262.95
13.097,235.33,593.39,262.98
13.098,235.34,592.39,263.01
13.099,235.35,591.44,263.04
13.1,235.36,590.56,263.07
13.101,235.37,589.75,263.1
13.102,235.38,589.05,263.13
13.103,235.39,588.48,263.16
13.104,235.4,588.07,263.19
13.105,235.41,587.84,263.22
13.106,235.42,587.81,263.25
13.107,235.44,587.98,263.28
13.108,235.45,588.37,263.31
13.109,235.46,588.96,263.34
13.11,235.47,589.72,263.37
13.111,235.48,590.64,263.4
13.112,235.49,591.66,263.43
13.113,235.5,592.75,263.46
13.114,235.51,593.87,263.49
13.115,235.52,594.99,263.52
13.116,235.53,596.08,263.55
13.117,235.54,597.11,263.58
13.118,235.55,598.07,263.61
13.119,235.56,598.95,263.64
13.12,235.57,599.76,263.67
13.121,235.58,600.49,263.7
13.122,235.59,601.16,263.73
13.123,235.6,601.77,263.76
13.124,235.61,602.33,263.8
13.125,235.62,602.86,263.83
13.126,235.63,603.35,263.86
13.127,235.64,603.81,263.89
13.128,235.65,604.25,263.92
13.129,235.66,604.67,263.95
13.13,235.67,605.05,263.98
13.131,235.68,605.41,264.01
13.132,235.69,605.72,264.04
13.133,235.69,605.98,264.07
13.134,235.7,606.19,264.1
13.135,235.71,606.36,264.13
13.136,235.72,606.47,264.16
13.137,235.73,606.53,264.19
13.138,235.74,606.54,264.22
13.139,235.75,606.52,264.25
13.14,235.75,606.46,264.28
13.141,235.76,606.4,264.31
13.142,235.77,606.36,264.34
13.143,235.78,606.34,264.37
13.144,235.79,606.37,264.4
13.145,235.8,606.47,264.43
13.146,235.8,606.64,264.46
13.147,235.81,606.89,264.49
13.148,235.82,607.22,264.52
13.149,235.83,607.63,264.55
13.15,235.83,608.09,264.58
13.151,235.84,608.59,264.61
13.152,235.85,609.12,264.64
13.153,235.85,609.66,264.67
13.154,235.86,610.2,264.7
13.155,235.87,610.72,264.73
13.156,235.87,611.23,264.76
13.157,235.88,611.72,264.79
13.158,235.89,612.21,264.82
13.159,235.89,612.69,264.85
13.16,235.9,613.16,264.87
13.161,235.91,613.63,264.9
13.162,235.91,614.07,264.93
13.163,235.92,614.49,264.96
13.164,235.92,614.87,264.99
13.165,235.93,615.21,265.02
13.166,235.94,615.51,265.05
13.167,235.94,615.78,265.08
13.168,235.95,616.02,265.11
13.169,235.95,616.27,265.14
13.17,235.96,616.54,265.17
13.171,235.96,616.86,265.19
13.172,235.97,617.26,265.22
13.173,235.97,617.77,265.25
13.174,235.98,618.4,265.28
13.175,235.98,619.15,265.31
13.176,235.98,620.05,265.34
13.177,235.99,621.06,265.36
13.178,235.99,622.18,265.39
13.179,236.0,623.36,265.42
13.18,236.0,624.57,265.45
13.181,236.01,625.75,265.48
13.182,236.01,626.87,265.5
13.183,236.01,627.89,265.53
13.184,236.02,628.81,265.56
13.185,236.02,629.62,265.59
13.186,236.03,630.34,265.61
13.187,236.03,630.97,265.64
13.188,236.03,631.55,265.67
13.189,236.04,632.1,265.69
13.19,236.04,632.63,265.72
13.191,236.04,633.17,265.75
13.192,236.05,633.73,265.78
13.193,236.05,634.34,265.8
13.194,236.05,635.0,265.83
13.195,236.06,635.72,265.86
13.196,236.06,636.51,265.88
13.197,236.06,637.35,265.91
13.198,236.07,638.2,265.93
13.199,236.07,639.04,265.96
13.2,236.07,639.85,265.99
13.201,236.08,640.59,266.01
13.202,236.08,641.27,266.04
13.203,236.08,641.87,266.06
13.204,236.08,642.41,266.09
13.205,236.09,642.89,266.11
13.206,236.09,643.35,266.14
13.207,236.09,643.79,266.16
13.208,236.1,644.23,266.19
13.209,236.1,644.68,266.21
13.21,236.1,645.15,266.24
13.211,236.1,645.65,266.26
13.212,236.11,646.16,266.29
13.213,236.11,646.69,266.31
13.214,236.11,647.22,266.33
13.215,236.12,647.77,266.36
13.216,236.12,648.35,266.38
13.217,236.12,648.97,266.41
13.218,236.12,649.63,266.43
13.219,236.13,650.32,266.45
13.22,236.13,651.03,266.48
13.221,236.13,651.75,266.5
13.222,236.13,652.46,266.52
13.223,236.14,653.17,266.54
13.224,236.14,653.88,266.57
13.225,236.14,654.59,266.59
13.226,236.14,655.31,266.61
13.227,236.15,656.02,266.63
13.228,236.15,656.72,266.66
13.229,236.15,657.4,266.68
13.23,236.15,658.04,266.7
13.231,236.16,658.66,266.72
13.232,236.16,659.22,266.74
13.233,236.16,659.75,266.76
13.234,236.16,660.24,266.78
13.235,236.17,660.7,266.8
13.236,236.17,661.14,266.82
13.237,236.17,661.55,266.84
13.238,236.17,661.96,266.87
